Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,42239854
Afghanistan,AFG,"Population ages 80 and above, male",SP.POP.80UP.MA,43502
Afghanistan,AFG,"Population ages 80 and above, female",SP.POP.80UP.FE,67339
Afghanistan,AFG,"Population ages 75-79, male",SP.POP.7579.MA,73355
Afghanistan,AFG,"Population ages 75-79, female",SP.POP.7579.FE,106307
Afghanistan,AFG,"Population ages 70-74, male",SP.POP.7074.MA,122156
Afghanistan,AFG,"Population ages 70-74, female",SP.POP.7074.FE,164042
Afghanistan,AFG,"Population ages 65-69, male",SP.POP.6569.MA,192240
Afghanistan,AFG,"Population ages 65-69, female",SP.POP.6569.FE,242762
Afghanistan,AFG,"Population ages 60-64, male",SP.POP.6064.MA,279155
Afghanistan,AFG,"Population ages 60-64, female",SP.POP.6064.FE,335696
Afghanistan,AFG,"Population ages 55-59, male",SP.POP.5559.MA,394559
Afghanistan,AFG,"Population ages 55-59, female",SP.POP.5559.FE,442791
Afghanistan,AFG,"Population ages 50-54, male",SP.POP.5054.MA,539216
Afghanistan,AFG,"Population ages 50-54, female",SP.POP.5054.FE,564335
Afghanistan,AFG,"Population ages 45-49, male",SP.POP.4549.MA,693917
Afghanistan,AFG,"Population ages 45-49, female",SP.POP.4549.FE,697620
Afghanistan,AFG,"Population ages 40-44, male",SP.POP.4044.MA,842599
Afghanistan,AFG,"Population ages 40-44, female",SP.POP.4044.FE,834710
Afghanistan,AFG,"Population ages 35-39, male",SP.POP.3539.MA,1050979
Afghanistan,AFG,"Population ages 35-39, female",SP.POP.3539.FE,1039380
Afghanistan,AFG,"Age dependency ratio, old",SP.POP.DPND.OL,4.37390804047101
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,82.6159048623208
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Afghanistan,AFG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Afghanistan,AFG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,739112053
Africa Eastern and Southern,AFE,"Population ages 80 and above, male",SP.POP.80UP.MA,1102378
Africa Eastern and Southern,AFE,"Population ages 80 and above, female",SP.POP.80UP.FE,1968846
Africa Eastern and Southern,AFE,"Population ages 75-79, male",SP.POP.7579.MA,1653122
